paperID,title,authors,contacts,studyID,effectID,journal,journalH5,publicationYear,country,published,source,doi,citations,items,predictedDirection,inLabAdministration,researchDesign,strategy,interventionFrequency,interventionNumber,timingEffect,when,interventionDuration,interventionLength,nationality,individualDifferencesPresence,stressTestPresence,stressTestType,stressTestName,populationType,populationDescription,instrument,comparisonGroupType,interventionDescription,comparisonGroupDescription,measure,affect ,stressComponentType,affectiveConsequencesStress ,focalVariable,effectType,nMale	,nFemale,percFemale,meanAge,F,logRegB,B,beta,t,r,chiSq     ,waldChiSq,df1,df2,pReported,sd1,sd2,se1,se2,n1,n2,n3,mean1,mean2,robDomain1,robDomain2,robDomain3,robDomain4,robDomain5,robOverall,include,notes,url
1,Non-pharmacological Intervention for Chronic Pain in Veterans: A Pilot Study of Heart Rate Variability Biofeedback.,"Berry, Melanie E.; Chapple, Iva T.; Ginsberg, Jay P.; Gleichauf, Kurt J.; Meyer, Jeff A.; Nagpal, Madan L.",Jay.Ginsberg@va.gov,1,1,Global advances in health and medicine,20,2014,1,,,,,,,1,1,2,1,4,1,,40,,2,2,2,4,,3,,,1,,,,,6,,1,,13,1,,44.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Non-pharmacological Intervention for Chronic Pain in Veterans: A Pilot Study of Heart Rate Variability Biofeedback.,"Berry, Melanie E.; Chapple, Iva T.; Ginsberg, Jay P.; Gleichauf, Kurt J.; Meyer, Jeff A.; Nagpal, Madan L.",Jay.Ginsberg@va.gov,1,2,Global advances in health and medicine,20,2014,1,,,,,10,,1,1,2,1,4,1,,40,,2,2,2,4,,3,,,1,,,,,2,,1,,13,1,,44.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Symptom Management Among Cancer Survivors: Randomized Pilot Intervention Trial of Heart Rate Variability Biofeedback.,"Burch, James B.; Ginsberg, J. P.; McLain, Alexander C.; Franco, Regina; Stokes, Sherry; Susko, Kerri; Hendry, William; Crowley, Elizabeth; Christ, Alex; Hanna, John; Anderson, Annie; Hébert, James R.; O'Rourke, Mark A.",burch@mailbox.sc.edu,1,1,Applied psychophysiology and biofeedback,21,2020,1,,,,,,,1,1,2,1,4,2,,160,,1,1,2,4,,3,,,1,,,,,6,,1,,5,29,,59.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Symptom Management Among Cancer Survivors: Randomized Pilot Intervention Trial of Heart Rate Variability Biofeedback.,"Burch, James B.; Ginsberg, J. P.; McLain, Alexander C.; Franco, Regina; Stokes, Sherry; Susko, Kerri; Hendry, William; Crowley, Elizabeth; Christ, Alex; Hanna, John; Anderson, Annie; Hébert, James R.; O'Rourke, Mark A.",burch@mailbox.sc.edu,1,2,Applied psychophysiology and biofeedback,21,2020,1,,,,,10,,1,1,2,1,4,2,,160,,1,1,2,4,,3,,,1,,,,,2,,1,,5,29,,59.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Symptom Management Among Cancer Survivors: Randomized Pilot Intervention Trial of Heart Rate Variability Biofeedback.,"Burch, James B.; Ginsberg, J. P.; McLain, Alexander C.; Franco, Regina; Stokes, Sherry; Susko, Kerri; Hendry, William; Crowley, Elizabeth; Christ, Alex; Hanna, John; Anderson, Annie; Hébert, James R.; O'Rourke, Mark A.",burch@mailbox.sc.edu,1,3,Applied psychophysiology and biofeedback,21,2020,1,,,,,21,,1,1,2,1,4,2,,160,,1,1,2,4,,3,,,1,,,,,,1,1,,5,29,,59.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,A randomized-controlled trial of heart rate variability biofeedback for psychotic symptoms.,"Clamor, Annika; Koenig, Julian; Thayer, Julian F.; Lincoln, Tania M.","annika.clamor@uni-hamburg.de, Julian.Koenig@
med.uni-heidelberg.de, thayer.39@osu.edu, tania.lincoln@
uni-hamburg.de",1,2,Behaviour research and therapy,57,2016,1,,,,,,,1,1,2,1,1,1,,20,,2,1,1,2,,3,,,2,,,,,6,,1,,26,58,,26.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,A randomized-controlled trial of heart rate variability biofeedback for psychotic symptoms.,"Clamor, Annika; Koenig, Julian; Thayer, Julian F.; Lincoln, Tania M.","annika.clamor@uni-hamburg.de, Julian.Koenig@
med.uni-heidelberg.de, thayer.39@osu.edu, tania.lincoln@
uni-hamburg.de",1,2,,,,1,,,,,1,,1,1,2,1,1,1,,20,,2,1,1,2,,3,,,2,,,,,2,,1,,26,58,,26.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Pilot study of the effects of heart rate variability biofeedback on perceived stress, perceived coping ability, and resilience in accelerated baccalaureate nursing students","Harmelink, Andrea J.",,1,1,,,2016,1,,,,,10,,3,1,2,21,85,1,,570,,1,1,2,4,,1,,,1,,,,,2,,1,,7,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Exploring the effectiveness of a computer-based heart rate variability biofeedback program in reducing anxiety in college students.,"Henriques, Gregg; Keffer, Steven; Abrahamson, Craig; Horst, S. Jeanne",henriqgx@jmu.edu,2,1,Applied psychophysiology and biofeedback,21,2011,1,,,,,11,,3,1,2,5,20,1,,300,,2,1,2,4,,1,,,1,,,,,,2,1,,8,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Exploring the effectiveness of a computer-based heart rate variability biofeedback program in reducing anxiety in college students.,"Henriques, Gregg; Keffer, Steven; Abrahamson, Craig; Horst, S. Jeanne",henriqgx@jmu.edu,2,2,,,,1,,,,,12,,3,1,2,5,20,1,,300,,2,1,2,4,,1,,,1,,,,,,1,2,,8,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
